,COLUMN,SCORE
0,POST_SATISFACTION_QUESTION_1,0.40084711304908294
1,POST_ENGAGEMENT_QUESTION_3,0.22259853533780866
2,POST_PERFORMANCE,0.18109481859747778
3,PRE_SATISFACTION_QUESTION_1,0.08078824291281336
4,PRE_PERFORMANCE,0.05713356670819928
5,POST_ENGAGEMENT_QUESTION_1,0.04845937754530471
6,OFFICE_LOCATION_MN,0.009078345849313368
7,PRE_SATISFACTION_QUESTION_2,0.0
8,PRE_SATISFACTION_QUESTION_3,0.0
9,POST_ENGAGEMENT_QUESTION_2,0.0
10,RACE_ASIAN,0.0
11,PRE_ENGAGEMENT_QUESTION_3,0.0
12,POST_SATISFACTION_QUESTION_2,0.0
13,POST_SATISFACTION_QUESTION_3,0.0
14,GENDER_FEMALE,0.0
15,GENDER_MALE,0.0
16,CHILDREN__N,0.0
17,CHILDREN__Y,0.0
18,RACE_BLACK,0.0
19,PRE_ENGAGEMENT_QUESTION_1,0.0
20,RACE_HISPANIC,0.0
21,RACE_NATIVE_AMERICAN,0.0
22,RACE_TWO_OR_MORE_RACES,0.0
23,RACE_WHITE,0.0
24,OFFICE_LOCATION_CO,0.0
25,OFFICE_LOCATION_IL,0.0
26,OFFICE_LOCATION_UT,0.0
27,EMPLOYEE_LEVEL_DIRECTOR,0.0
28,EMPLOYEE_LEVEL_JUNIOR,0.0
29,EMPLOYEE_LEVEL_MANAGER,0.0
30,EMPLOYEE_JOB_FAMILY_ACCOUNTING_AND_FINANCE,0.0
31,EMPLOYEE_JOB_FAMILY_ADMINISTRATIVE,0.0
32,EMPLOYEE_JOB_FAMILY_CUSTOMER_SERVICE,0.0
33,EMPLOYEE_JOB_FAMILY_LEGAL,0.0
34,PRE_ENGAGEMENT_QUESTION_2,0.0
35,START_DATE,0.0
36,TENURE_YEARS,0.0
37,SLEEP_INTERVENTION,0.0
38,SALARY,0.0
39,AGE,0.0
40,DISTANCE_FROM_HOME_TO_OFFICE_MILES_IF_NOT_REMOTE,0.0
41,AVERAGE_COMMUTE_MINUTES_IF_NOT_REMOTE,0.0
42,CHANGE_READINESS_1,0.0
43,CHANGE_READINESS_2,0.0
44,CHANGE_READINESS_3,0.0
45,CHANGE_READINESS_4,0.0
46,CHANGE_READINESS_5,0.0
47,CHANGE_COMMITMENT_1,0.0
48,CHANGE_COMMITMENT_2,0.0
49,CHANGE_COMMITMENT_3,0.0
50,CHANGE_COMMITMENT_4,0.0
51,CHANGE_COMMITMENT_5,0.0
52,EXERCISE_INTERVENTION,0.0
53,POST_ABSENTEEISM,0.0
54,SMOKING_INTERVENTION,0.0
55,PRE_HOURS_OF_SLEEP,0.0
56,PRE_QUALITY_OF_SLEEP,0.0
57,PRE_DAILY_EXERCISE_MIN,0.0
58,PRE_BMI,0.0
59,PRE_SMOKING,0.0
60,POST_HOURS_OF_SLEEP,0.0
61,POST_QUALITY_OF_SLEEP,0.0
62,POST_DAILY_EXERCISE,0.0
63,POST_BMI,0.0
64,POST_SMOKING,0.0
65,PRE_ABSENTEEISM_DAYS_MONTH,0.0
66,PRE_INTENTION_TO_STAY,0.0
67,POST_INTENTION_TO_STAY,0.0
68,EMPLOYEE_JOB_FAMILY_MARKETING_AND_SALES,0.0
